dataset,id,group,status,reason,branches,rows,bytes,hits,like_pass,literal_pass,rich_pass,survivor_bytes,bounded_bytes,bounded_rows,intervals,bounds_re2_calls,false_negatives,exact_mismatches,bounds_mismatches
accidents,accident:0,accidents,signature,character-class,1,65536,4378387,7299,7299,15097,7299,304326,304326,0,7299,7299,0,0,0
accidents,accident:1,accidents,signature,character-class,1,65536,4378387,83,83,90,83,9217,9217,0,83,83,0,0,0
accidents,accident:2,accidents,signature,character-class,1,65536,4378387,752,752,2513,752,90170,90170,0,752,752,0,0,0
accidents,accident:3,accidents,signature,character-class,1,65536,4378387,638,638,638,638,29314,29277,1,638,638,0,0,0
uap,user_agent_parsers:0,user_agent_parsers,signature,character-class,3,18213,1919759,1,1,1,1,22,22,0,1,1,0,0,0
uap,user_agent_parsers:1,user_agent_parsers,signature,character-class,2,18213,1919759,1,1,18213,1,41,41,0,1,1,0,0,0
uap,user_agent_parsers:2,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:3,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:4,user_agent_parsers,signature,character-class,2,18213,1919759,1,1,1,1,75,15,1,1,1,0,0,0
uap,user_agent_parsers:5,user_agent_parsers,signature,character-class,2,18213,1919759,1,1,2,1,72,35,1,1,1,0,0,0
uap,user_agent_parsers:6,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,247,122,2,2,2,0,0,0
uap,user_agent_parsers:7,user_agent_parsers,signature,character-class,2,18213,1919759,4,4,15970,4,483,245,4,4,4,0,0,0
uap,user_agent_parsers:8,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,135,62,1,1,1,0,0,0
uap,user_agent_parsers:9,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,5,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:10,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,145,2,93,72,1,2,2,0,0,0
uap,user_agent_parsers:11,user_agent_parsers,signature,character-class,8,18213,1919759,12,12,15970,12,1195,1195,0,12,12,0,0,0
uap,user_agent_parsers:12,user_agent_parsers,signature,branch-budget;character-class,2,18213,1919759,8,15969,15970,15781,1885448,1885448,0,15969,15969,0,0,0
uap,user_agent_parsers:13,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:14,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,145,1,50,50,0,1,1,0,0,0
uap,user_agent_parsers:15,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,145,1,52,28,1,1,1,0,0,0
uap,user_agent_parsers:16,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,145,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:17,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:18,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:19,user_agent_parsers,signature,character-class;optional-repeat,8,18213,1919759,20,20,145,20,1060,1060,0,20,20,0,0,0
uap,user_agent_parsers:20,user_agent_parsers,signature,character-class;optional-repeat,8,18213,1919759,2,2,145,2,120,120,0,2,2,0,0,0
uap,user_agent_parsers:21,user_agent_parsers,signature,character-class;optional-repeat,8,18213,1919759,140,142,145,140,6574,6574,0,142,142,0,0,0
uap,user_agent_parsers:22,user_agent_parsers,signature,character-class,4,18213,1919759,9,9,10,9,326,326,0,9,9,0,0,0
uap,user_agent_parsers:23,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:24,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:25,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:26,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:27,user_agent_parsers,exact,,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:28,user_agent_parsers,signature,character-class,3,18213,1919759,148,148,18213,148,6877,4772,148,148,148,0,0,0
uap,user_agent_parsers:29,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,106,106,0,2,2,0,0,0
uap,user_agent_parsers:30,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,210,60,2,2,2,0,0,0
uap,user_agent_parsers:31,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,196,60,1,1,1,0,0,0
uap,user_agent_parsers:32,user_agent_parsers,signature,character-class,2,18213,1919759,8,8,8,8,1024,1024,0,8,8,0,0,0
uap,user_agent_parsers:33,user_agent_parsers,exact,,1,18213,1919759,3,3,3,3,0,0,0,0,0,0,0,0
uap,user_agent_parsers:34,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,28,28,0,1,1,0,0,0
uap,user_agent_parsers:35,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,576,240,3,3,3,0,0,0
uap,user_agent_parsers:36,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,21,21,0,1,1,0,0,0
uap,user_agent_parsers:37,user_agent_parsers,signature,character-class;repeat-budget;optional-repeat,1,18213,1919759,1,1,1,1,120,120,0,1,1,0,0,0
uap,user_agent_parsers:38,user_agent_parsers,signature,character-class,2,18213,1919759,4,4,4,4,479,479,0,4,4,0,0,0
uap,user_agent_parsers:39,user_agent_parsers,exact,,1,18213,1919759,2,2,2,2,0,0,0,0,0,0,0,0
uap,user_agent_parsers:40,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,73,73,0,1,1,0,0,0
uap,user_agent_parsers:41,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,1,1,1,1,54,52,1,1,1,0,0,0
uap,user_agent_parsers:42,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:43,user_agent_parsers,exact,,1,18213,1919759,1,1,1,1,0,0,0,0,0,0,0,0
uap,user_agent_parsers:44,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,14,14,0,1,1,0,0,0
uap,user_agent_parsers:45,user_agent_parsers,signature,character-class;case-fold;branch-budget,8,18213,1919759,16,15010,15519,12281,1820274,1692432,15007,15010,15010,0,0,0
uap,user_agent_parsers:46,user_agent_parsers,signature,assertion;character-class;branch-budget,4,18213,1919759,44,15509,15519,14823,1837686,1837686,0,15509,15509,0,0,0
uap,user_agent_parsers:47,user_agent_parsers,signature,character-class;optional-repeat,3,18213,1919759,2,2,2,2,161,126,2,2,2,0,0,0
uap,user_agent_parsers:48,user_agent_parsers,signature,character-class,2,18213,1919759,3,3,3,3,203,203,0,3,3,0,0,0
uap,user_agent_parsers:49,user_agent_parsers,fallback,branch-budget;character-class,1,18213,1919759,25,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:50,user_agent_parsers,signature,character-class,8,18213,1919759,3,3,9,3,335,335,0,3,3,0,0,0
uap,user_agent_parsers:51,user_agent_parsers,fallback,character-class;unbounded-repeat;optional-repeat;case-fold;assertion;branch-budget,2,18213,1919759,340,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:52,user_agent_parsers,fallback,assertion;character-class;branch-budget,1,18213,1919759,19,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:53,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,75,75,0,1,1,0,0,0
uap,user_agent_parsers:54,user_agent_parsers,signature,character-class;branch-budget,4,18213,1919759,2,18213,18213,17916,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:55,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,51,51,0,1,1,0,0,0
uap,user_agent_parsers:56,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:57,user_agent_parsers,signature,character-class,8,18213,1919759,2,2,18213,2,461,197,2,2,2,0,0,0
uap,user_agent_parsers:58,user_agent_parsers,signature,character-class;optional-repeat,4,18213,1919759,46,46,46,46,9574,9574,0,46,46,0,0,0
uap,user_agent_parsers:59,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,47,47,47,47,9805,6366,31,47,47,0,0,0
uap,user_agent_parsers:60,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,218,92,2,2,2,0,0,0
uap,user_agent_parsers:61,user_agent_parsers,signature,character-class;optional-repeat;case-fold;branch-budget,6,18213,1919759,288,16415,18213,15452,1896814,1896814,0,16415,16415,0,0,0
uap,user_agent_parsers:62,user_agent_parsers,signature,character-class;optional-repeat;case-fold;assertion;branch-budget,4,18213,1919759,218,481,504,479,46446,46446,0,481,481,0,0,0
uap,user_agent_parsers:63,user_agent_parsers,fallback,character-class;optional-repeat;unbounded-repeat;case-fold;branch-budget,2,18213,1919759,609,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:64,user_agent_parsers,signature,character-class,1,18213,1919759,97,97,107,97,11708,8933,66,97,97,0,0,0
uap,user_agent_parsers:65,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,2,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:66,user_agent_parsers,signature,character-class,2,18213,1919759,3,3,3,3,293,59,3,3,3,0,0,0
uap,user_agent_parsers:67,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,3,3,3,3,403,49,3,3,3,0,0,0
uap,user_agent_parsers:68,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,12,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:69,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,6,6,42,6,1392,1392,0,6,6,0,0,0
uap,user_agent_parsers:70,user_agent_parsers,signature,character-class,1,18213,1919759,42,42,42,42,4980,4191,6,42,42,0,0,0
uap,user_agent_parsers:71,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,6,9,9,6,1461,1461,0,9,9,0,0,0
uap,user_agent_parsers:72,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,3,3,3,3,531,531,0,3,3,0,0,0
uap,user_agent_parsers:73,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,3,3,3,3,537,537,0,3,3,0,0,0
uap,user_agent_parsers:74,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,193,96,1,2,2,0,0,0
uap,user_agent_parsers:75,user_agent_parsers,signature,character-class,6,18213,1919759,7,7,18213,7,704,323,3,7,7,0,0,0
uap,user_agent_parsers:76,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,383,145,1,1,1,0,0,0
uap,user_agent_parsers:77,user_agent_parsers,signature,character-class,1,18213,1919759,1,2,2,1,646,340,2,2,2,0,0,0
uap,user_agent_parsers:78,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,642,171,2,2,2,0,0,0
uap,user_agent_parsers:79,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,3,3,3,3,444,444,0,3,3,0,0,0
uap,user_agent_parsers:80,user_agent_parsers,signature,character-class,1,18213,1919759,3,3,3,3,539,210,3,3,3,0,0,0
uap,user_agent_parsers:81,user_agent_parsers,signature,character-class;unbounded-repeat,2,18213,1919759,4,4,11073,4,588,588,0,4,4,0,0,0
uap,user_agent_parsers:82,user_agent_parsers,signature,character-class;unbounded-repeat,2,18213,1919759,4,4,11073,4,522,469,4,4,4,0,0,0
uap,user_agent_parsers:83,user_agent_parsers,exact,,2,18213,1919759,8,8,18213,8,0,0,0,0,0,0,0,0
uap,user_agent_parsers:84,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,97,97,0,1,1,0,0,0
uap,user_agent_parsers:85,user_agent_parsers,signature,character-class,2,18213,1919759,5,5,5,5,412,73,5,5,5,0,0,0
uap,user_agent_parsers:86,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,220,142,2,2,2,0,0,0
uap,user_agent_parsers:87,user_agent_parsers,signature,character-class,6,18213,1919759,2,2,2,2,205,24,2,2,2,0,0,0
uap,user_agent_parsers:88,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,2,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:89,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,205,24,2,2,2,0,0,0
uap,user_agent_parsers:90,user_agent_parsers,signature,character-class;optional-repeat,2,18213,1919759,25,25,77,25,1653,1653,0,25,25,0,0,0
uap,user_agent_parsers:91,user_agent_parsers,signature,character-class,6,18213,1919759,2,2,15970,2,218,36,2,2,2,0,0,0
uap,user_agent_parsers:92,user_agent_parsers,signature,character-class,1,18213,1919759,0,17,77,0,2244,957,16,17,17,0,0,0
uap,user_agent_parsers:93,user_agent_parsers,signature,character-class,1,18213,1919759,3,4,77,3,1079,518,4,4,4,0,0,0
uap,user_agent_parsers:94,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,3,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:95,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,3,2,160,40,2,2,2,0,0,0
uap,user_agent_parsers:96,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,2,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:97,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:98,user_agent_parsers,signature,character-class,3,18213,1919759,2,2,2,2,250,100,2,2,2,0,0,0
uap,user_agent_parsers:99,user_agent_parsers,signature,character-class,4,18213,1919759,2,2,2,2,260,74,2,2,2,0,0,0
uap,user_agent_parsers:100,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:101,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,272,100,2,2,2,0,0,0
uap,user_agent_parsers:102,user_agent_parsers,signature,character-class,1,18213,1919759,1,2,2,1,260,154,2,2,2,0,0,0
uap,user_agent_parsers:103,user_agent_parsers,signature,character-class,2,18213,1919759,0,2,2,0,260,154,2,2,2,0,0,0
uap,user_agent_parsers:104,user_agent_parsers,signature,character-class,8,18213,1919759,3,3,3,3,258,74,3,3,3,0,0,0
uap,user_agent_parsers:105,user_agent_parsers,signature,character-class,1,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:106,user_agent_parsers,signature,branch-budget;character-class,1,18213,1919759,849,14896,15970,12367,1835102,1835102,0,14896,14896,0,0,0
uap,user_agent_parsers:107,user_agent_parsers,signature,character-class;optional-repeat,2,18213,1919759,2,2,2,2,192,128,2,2,2,0,0,0
uap,user_agent_parsers:108,user_agent_parsers,fallback,character-class;branch-budget,2,18213,1919759,129,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:109,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,12,12,25,12,1475,1475,0,12,12,0,0,0
uap,user_agent_parsers:110,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,19,19,25,19,2349,1566,19,19,19,0,0,0
uap,user_agent_parsers:111,user_agent_parsers,signature,character-class;unbounded-repeat,2,18213,1919759,5,5,25,5,430,152,5,5,5,0,0,0
uap,user_agent_parsers:112,user_agent_parsers,exact,,1,18213,1919759,25,25,25,25,0,0,0,0,0,0,0,0
uap,user_agent_parsers:113,user_agent_parsers,signature,character-class;optional-repeat,2,18213,1919759,97,99,4678,99,12200,12200,0,99,99,0,0,0
uap,user_agent_parsers:114,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,372,372,6517,372,59642,14877,372,372,372,0,0,0
uap,user_agent_parsers:115,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,563,563,4239,563,88855,32574,563,563,563,0,0,0
uap,user_agent_parsers:116,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,262,14,2,2,2,0,0,0
uap,user_agent_parsers:117,user_agent_parsers,signature,character-class,2,18213,1919759,3,3,3,3,409,21,3,3,3,0,0,0
uap,user_agent_parsers:118,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,145,48,1,1,1,0,0,0
uap,user_agent_parsers:119,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,286,92,2,2,2,0,0,0
uap,user_agent_parsers:120,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,1,1,4238,1,135,48,1,1,1,0,0,0
uap,user_agent_parsers:121,user_agent_parsers,signature,character-class,4,18213,1919759,9,9,15970,9,1149,928,9,9,9,0,0,0
uap,user_agent_parsers:122,user_agent_parsers,exact,,1,18213,1919759,2,2,2,2,0,0,0,0,0,0,0,0
uap,user_agent_parsers:123,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,99,28,1,1,1,0,0,0
uap,user_agent_parsers:124,user_agent_parsers,signature,character-class,8,18213,1919759,2,3,3,2,316,316,0,3,3,0,0,0
uap,user_agent_parsers:125,user_agent_parsers,signature,character-class,2,18213,1919759,0,0,77,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:126,user_agent_parsers,signature,character-class,3,18213,1919759,0,0,0,0,0,0,0,0,0,0,0,0
uap,user_agent_parsers:127,user_agent_parsers,signature,character-class,2,18213,1919759,1,1,1,1,93,24,1,1,1,0,0,0
uap,user_agent_parsers:128,user_agent_parsers,exact,,1,18213,1919759,3,3,3,3,0,0,0,0,0,0,0,0
uap,user_agent_parsers:129,user_agent_parsers,signature,character-class,4,18213,1919759,4,4,15970,4,356,110,4,4,4,0,0,0
uap,user_agent_parsers:130,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,202,30,2,2,2,0,0,0
uap,user_agent_parsers:131,user_agent_parsers,exact,,1,18213,1919759,3,3,3,3,0,0,0,0,0,0,0,0
uap,user_agent_parsers:132,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,282,110,2,2,2,0,0,0
uap,user_agent_parsers:133,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,267,24,2,2,2,0,0,0
uap,user_agent_parsers:134,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,3,3,7,3,219,180,3,3,3,0,0,0
uap,user_agent_parsers:135,user_agent_parsers,exact,,1,18213,1919759,7,7,7,7,0,0,0,0,0,0,0,0
uap,user_agent_parsers:136,user_agent_parsers,exact,,1,18213,1919759,3,3,3,3,0,0,0,0,0,0,0,0
uap,user_agent_parsers:137,user_agent_parsers,exact,,1,18213,1919759,4,4,4,4,0,0,0,0,0,0,0,0
uap,user_agent_parsers:138,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,4,4,9579,4,440,328,4,4,4,0,0,0
uap,user_agent_parsers:139,user_agent_parsers,exact,,1,18213,1919759,4,4,4,4,0,0,0,0,0,0,0,0
uap,user_agent_parsers:140,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,166,45,1,1,1,0,0,0
uap,user_agent_parsers:141,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,125,13,1,1,1,0,0,0
uap,user_agent_parsers:142,user_agent_parsers,signature,character-class,2,18213,1919759,4,4,15970,4,596,145,4,4,4,0,0,0
uap,user_agent_parsers:143,user_agent_parsers,signature,character-class,4,18213,1919759,2,2,2,2,290,32,2,2,2,0,0,0
uap,user_agent_parsers:144,user_agent_parsers,signature,character-class,4,18213,1919759,4,4,15970,4,548,79,4,4,4,0,0,0
uap,user_agent_parsers:145,user_agent_parsers,fallback,character-class;branch-budget,2,18213,1919759,8,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:146,user_agent_parsers,signature,character-class,4,18213,1919759,2,9,9,2,1178,1178,0,9,9,0,0,0
uap,user_agent_parsers:147,user_agent_parsers,signature,character-class,2,18213,1919759,23,23,23,23,2991,1127,23,23,23,0,0,0
uap,user_agent_parsers:148,user_agent_parsers,signature,character-class,2,18213,1919759,19,19,19,19,2629,428,19,19,19,0,0,0
uap,user_agent_parsers:149,user_agent_parsers,signature,character-class;optional-repeat,1,18213,1919759,1,1,322,1,155,142,1,1,1,0,0,0
uap,user_agent_parsers:150,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,7,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:151,user_agent_parsers,signature,character-class,2,18213,1919759,7,7,7,7,1094,534,7,7,7,0,0,0
uap,user_agent_parsers:152,user_agent_parsers,signature,character-class,1,18213,1919759,11,11,11,11,1689,580,11,11,11,0,0,0
uap,user_agent_parsers:153,user_agent_parsers,signature,character-class,2,18213,1919759,4,4,4,4,584,91,4,4,4,0,0,0
uap,user_agent_parsers:154,user_agent_parsers,signature,character-class,2,18213,1919759,3,3,3,3,400,189,3,3,3,0,0,0
uap,user_agent_parsers:155,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,294,74,2,2,2,0,0,0
uap,user_agent_parsers:156,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,332,93,2,2,2,0,0,0
uap,user_agent_parsers:157,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,289,21,2,2,2,0,0,0
uap,user_agent_parsers:158,user_agent_parsers,signature,character-class,1,18213,1919759,7,7,9,7,1295,125,7,7,7,0,0,0
uap,user_agent_parsers:159,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,186,18,1,1,1,0,0,0
uap,user_agent_parsers:160,user_agent_parsers,signature,character-class,1,18213,1919759,2,2,2,2,384,48,2,2,2,0,0,0
uap,user_agent_parsers:161,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,6,6,11073,6,1001,1001,0,6,6,0,0,0
uap,user_agent_parsers:162,user_agent_parsers,signature,character-class,4,18213,1919759,28,28,28,28,6118,2063,28,28,28,0,0,0
uap,user_agent_parsers:163,user_agent_parsers,fallback,character-class;branch-budget,1,18213,1919759,42,18213,18213,18213,1919759,1919759,0,18213,18213,0,0,0
uap,user_agent_parsers:164,user_agent_parsers,signature,character-class,5,18213,1919759,157,157,157,157,6909,6909,0,157,157,0,0,0
uap,user_agent_parsers:165,user_agent_parsers,signature,character-class,5,18213,1919759,198,198,18213,198,11534,10430,9,198,198,0,0,0
uap,user_agent_parsers:166,user_agent_parsers,signature,character-class,4,18213,1919759,204,204,18213,204,11980,10385,203,204,204,0,0,0
uap,user_agent_parsers:167,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,6,6,6,6,864,864,0,6,6,0,0,0
uap,user_agent_parsers:168,user_agent_parsers,signature,character-class;unbounded-repeat,1,18213,1919759,6,6,6,6,864,864,0,6,6,0,0,0
uap,user_agent_parsers:169,user_agent_parsers,signature,character-class;unbounded-repeat,2,18213,1919759,1,1,11073,1,146,146,0,1,1,0,0,0
uap,user_agent_parsers:170,user_agent_parsers,signature,character-class;unbounded-repeat,2,18213,1919759,2,2,11073,2,272,272,0,2,2,0,0,0
uap,user_agent_parsers:171,user_agent_parsers,signature,character-class,1,18213,1919759,1,1,1,1,151,40,1,1,1,0,0,0
uap,user_agent_parsers:172,user_agent_parsers,signature,character-class,8,18213,1919759,1,1,1,1,147,20,1,1,1,0,0,0
uap,user_agent_parsers:173,user_agent_parsers,signature,character-class,8,18213,1919759,2,2,2,2,283,48,2,2,2,0,0,0
uap,user_agent_parsers:174,user_agent_parsers,signature,character-class,2,18213,1919759,2,2,2,2,332,38,2,2,2,0,0,0
uap,user_agent_parsers:175,user_agent_parsers,signature,case-fold;character-class,1,18213,1919759,2,2,2,2,339,70,2,2,2,0,0,0
